date,ticker,adj_close,industry,label,forward_return,split,str_rev_1m,str_rev_1w,str_rev_1m_volnorm,str_rev_1m_ind_rank,fold,predicted_up_probability,model_says_up,model_was_right
2022-07-01,PFE,41.86192321777344,Pharma,0.0,-0.042715174215945284,validation,0.0011456851487547937,-0.013956082377142742,0.011371406222041133,0.75,6,0.49737287213486664,0,1
2022-07-01,MS,67.30292510986328,Financials,1.0,0.09865829381731905,validation,0.09705886688041443,0.01374976885272916,0.9758997261864291,0.375,6,0.5218908199071999,1,1
2022-07-01,AMZN,109.55999755859375,Technology,1.0,0.22453456235574754,validation,0.09963512653952056,0.05924782397494344,0.6432079700035708,0.625,6,0.5181725682952759,1,1
2022-07-01,MSFT,251.15228271484375,Technology,1.0,0.058709988799184654,validation,0.0471329901058698,0.0303322865012865,0.4494860273617026,0.375,6,0.5152350880024605,1,1
2022-07-01,CRM,165.3395538330078,Technology,1.0,0.09268710363056609,validation,0.04469821138564034,0.09530968737371881,0.25574321406140554,0.125,6,0.5237920368850086,1,1
2022-07-01,GILD,54.361122131347656,Pharma,0.0,-0.04522126401412674,validation,0.025177815732717934,0.011414170137073354,0.3573280352607852,0.875,6,0.4988559516795236,0,1
2022-07-01,BAC,28.50237274169922,Financials,1.0,0.046894787094708734,validation,0.13439377074310477,0.023212624027915796,1.6307428296071083,0.875,6,0.5153825636102563,1,1
2022-07-01,C,40.73421859741211,Financials,1.0,0.09345930051522577,validation,0.10536372193482901,0.02068557496839174,1.0215373196470234,0.5,6,0.5203482668445815,1,1
2022-07-01,LLY,314.11151123046875,Pharma,0.0,-0.013889021127960643,validation,-0.043815098964014476,0.0027946110559250448,-0.4604782175025104,0.25,6,0.5037475392083358,1,0
2022-07-01,MRK,81.91937255859375,Pharma,0.0,-0.05204512553206864,validation,-0.022343266551597463,0.007623600462188795,-0.29104230767307604,0.5,6,0.5009852864662043,1,0
2022-07-01,META,158.6369171142578,Technology,1.0,0.0009998625489580082,validation,0.15166454890750714,0.05953216098125935,0.8687846444054953,0.75,6,0.522902892757093,1,1
2022-07-01,AMGN,216.7278594970703,Pharma,0.0,-0.006678857578323982,validation,0.031055064622356743,-0.0007335272026494088,0.5994426149543882,1.0,6,0.4960643377601501,0,1
2022-07-01,AAPL,136.1959991455078,Technology,1.0,0.1517308198837497,validation,0.0657653891515112,0.019271231234887165,0.5822042610925731,0.5,6,0.5144715200419553,1,1
2022-07-01,NVDA,14.499671936035156,Technology,1.0,0.2756317939322315,validation,0.2070922339408361,0.15199079037049346,1.1232550158984937,1.0,6,0.5288930884002653,1,1
2022-07-01,SCHW,60.407188415527344,Financials,1.0,0.05678959939204509,validation,0.0812131152372908,0.007915559017169116,0.8276867408423001,0.25,6,0.5223797548209193,1,1
2022-07-01,AVGO,44.76716613769531,Technology,1.0,0.11169010733637341,validation,0.1600684373390744,0.06138404104511874,1.7312532130899618,0.875,6,0.5208201792766104,1,1
2022-07-01,AXP,133.65707397460938,Financials,1.0,0.07977201504677867,validation,0.1498224054920113,0.035747896293815806,1.2521318149913199,1.0,6,0.5153308438675049,1,1
2022-07-01,WFC,36.038673400878906,Financials,1.0,0.07414852589972054,validation,0.11603202386959677,0.02060860771409012,0.8917050612684582,0.625,6,0.5189457406396573,1,1
2022-07-01,BMY,64.58927917480469,Pharma,0.0,-0.04632998285109369,validation,-0.03220027195423891,0.02008945752874014,-0.523732641153653,0.375,6,0.5031821534867695,1,0
2022-07-01,GS,272.2077331542969,Financials,1.0,0.09574556462249917,validation,0.0702812597066077,0.01162673705182371,0.6578931665306105,0.125,6,0.5240187262810329,1,1
2022-07-05,WFC,36.2011833190918,Financials,1.0,0.09451351712758882,validation,0.11537603581777345,0.003479135634520625,0.8862711480961116,0.5,6,0.5212067431980587,1,1
2022-07-05,AVGO,44.62289810180664,Technology,1.0,0.1478899349226872,validation,0.1673043657770913,0.05815564086479508,1.8278672717994058,0.875,6,0.5217415469324661,1,1
2022-07-05,PFE,41.32573699951172,Pharma,0.0,-0.026977390256370803,validation,0.019741896802697112,0.0046261164575133185,0.19475229497205485,1.0,6,0.49474131949202516,0,1
2022-07-05,AAPL,138.77420043945312,Technology,1.0,0.17356635827480305,validation,0.06381884087658618,0.0007059562157714083,0.5629379792741499,0.375,6,0.5164843787921353,1,1
2022-07-05,JNJ,158.72755432128906,Pharma,0.0,-0.019928249036349266,validation,-0.005588445094662831,0.02185367668229654,-0.09229788720669832,0.625,6,0.5009618236616282,1,0
2022-07-05,SCHW,59.90631103515625,Financials,1.0,0.08818421709517521,validation,0.11552958579015182,0.011847202051803563,1.2634375711643804,0.625,6,0.5183484740023782,1,1
2022-07-05,C,40.50825881958008,Financials,1.0,0.11819176519213626,validation,0.11100532023993404,0.02550696548436282,1.078119456704907,0.375,6,0.5244488302443487,1,1
2022-07-05,NVDA,14.93996524810791,Technology,1.0,0.2625630446257423,validation,0.2360572064360118,0.11292904684468608,1.386572623290954,1.0,6,0.5315413888464143,1,1
2022-07-05,BMY,63.84959411621094,Pharma,0.0,-0.0390994915218188,validation,-0.018884171953156503,0.04366557833539708,-0.300451485510803,0.5,6,0.5030157563808344,1,0
2022-07-05,MRK,82.1143798828125,Pharma,0.0,-0.05418829653282908,validation,-0.03775765815278698,0.01874790366223089,-0.5006786013147461,0.375,6,0.5022730437228243,1,0
2022-07-05,LLY,316.5008850097656,Pharma,0.0,-0.04080318955528439,validation,-0.08183702921745173,0.0002751120474303592,-0.9108362158404413,0.125,6,0.5011370855075753,1,0
2022-07-05,AXP,132.9430694580078,Financials,1.0,0.11299679301954635,validation,0.17126290526643406,0.02853539441929709,1.4751468340539218,1.0,6,0.5181873808388848,1,1
2022-07-05,GS,270.3611145019531,Financials,1.0,0.12102953395416494,validation,0.08342312845836242,0.011902308165553377,0.7849139248729222,0.125,6,0.5259664572054586,1,1
2022-07-05,AMZN,113.5,Technology,1.0,0.22925113896441363,validation,0.09569680294995231,-0.0024730504882353177,0.6131959412102139,0.625,6,0.5150196670758325,1,1
2022-07-05,ABBV,133.07510375976562,Pharma,0.0,-0.07411981823623093,validation,-0.04892672519394936,-0.005158676053146571,-0.670695726284096,0.25,6,0.502729081126646,1,0
2022-07-05,AMGN,217.7693328857422,Pharma,1.0,0.0016618166359778641,validation,0.006243058645437505,-0.0076781836597299424,0.12959697313693586,0.875,6,0.4952827986682806,0,0
